num,song_id,song_title,cluster,file_path
0,b'SORKXVV12A8C134C70',b'Price I Pay',6,'C:/Users/andry/OneDrive/Рабочий стол/music/Price I Pay.mp3'
1,b'SOVFWRR12A58A7C25E',b'Never Again (Album Version)',1,'C:/Users/andry/OneDrive/Рабочий стол/music/Never Again (Album Version).mp3'
2,b'SONTDOE12AAFF4446C',b'Earth Child (World)',0,'C:/Users/andry/OneDrive/Рабочий стол/music/Earth Child (World).mp3'
3,b'SOPXZIE12AB017C4D4',b'Master_ Faster_ Sweet Desaster',6
4,b'SOQSCFU12A8C13DAC3',"b'Silent Night (Featuring Geoffrey Jones_ Terrence ""T-Bone"" Frierson_ Billy Steele)'",6
5,b'SOIBUYG12AB01892A1',"b""My Man's Gone Now""",2
6,b'SOSKFIT12A8C14224A',"b""Sweet Child O' Mine""",6
7,b'SONXPQC12AB0189A32',b'Getto Boys',6
8,b'SOXDIWY12A8C13AD20',b'Crosses of crossed colors 3',5
9,b'SOFQRSV12A8C1358A9',b'Thriller',1
10,b'SOCXVHG12AB0181FAA',b'Qing Yi Shi',8
11,b'SORGLWU12AB0182E5B',b'Megaton B-Boy 2000 (LP Version)',7
12,b'SORZNEP12CF54662E7',b'Fried Neck Bones And Some Home Fries',8
13,b'SOATMXI12AB017DA64',b'El troyano',8
14,b'SODFVLR12AB0182A73',b'1000 Of Years Ago',9
15,b'SOPPTXH12A8C1409BC',b'Sent By Angels',3
16,b'SOMDCSV12A6D4FCC4E',b'The Plot To Bomb The Panhandle (Album Version)',1
17,b'SOVWGIY12AB01837EC',b'Wendy',8
18,b'SOVSBWN12A813557F9',b'Eyes Of A Stranger (Album Version)',8
19,b'SOZMKQQ12A8C142021',b'Empty Bottles',0
20,b'SOORFMU12A8C13C17C',b'She Spoke 2 Me ( Extended Remix LP Version)',6
21,b'SOASAOQ12A582917AA',b'God Keeps A Candle',8
22,b'SOKAWKH12A8C13514C',b'Bootleg Rum Dum Blues',2
23,b'SOHZVMY12AC3DF6075',b'Blues As Blues Can Get',3
24,b'SOXOEJL12A58A7B20F',b'Husbands And Wives',3
25,b'SOEDPQL12AF72AB07B',"b""The Gold It's In The ... (1996 Digital Remaster)""",6
26,b'SOBVTQI12A6D4F80ED',b'Be Stiff (Live)',6
27,b'SOOZCDR12AB018B6B6',b'Komm Computer',7
28,b'SOTSQZD12AB018A979',b'Tu Ex Amor',0
29,b'SOVDOWL12AC3DF4718',b'I Wonder Where You Are Tonight',0
30,b'SOQKHXG12A8AE47295',b'Gyere velem',7
31,b'SOYJZTG12A81C23239',b'Class Act',8
32,b'SOPJMCP12AB018CCA2',"b""Mother's Luv""",6
33,b'SOTGHKM12A8C13C67C',"b""The Ballad Of St. Anne's Reel""",3
34,b'SOCNADB12AB0185B07',b'Meteorito',4
35,b'SOHDAZP12AB0185D7F',b'Monday Morning Blues',2
36,b'SOYDMSD12AB01825A3',b'Side By Side',9
37,b'SOITEFM12A8C13CE39',b'Somebody Stop Me',0
38,b'SONBYWD12A6D4F5E8B',b'We Are The Reason - Medium key performance track w/o background vocals',3
39,b'SOKPBHZ12AB0181931',b'The Cat Came Back',9
40,b'SOTFFLU12A679AE5C4',b'Let Him Fly',3
41,b'SOZBKLM12A58A78692',b'Outside',9
42,b'SOFCPRQ12A8AE483D1',b'The Bottom Line',7
43,b'SONVCGW12A81C23489',b'Going Down',1
44,b'SOEORDW12A6D4FB045',b'Marrakech',1
45,b'SOQRFEQ12AB017BB66',b'People Never Give Up',4
46,b'SOBOKGJ12A8C132819',"b""It'll All Come Around (Album Version)""",7
47,b'SORPYHC12A6D4F9F58',b'Roadhouse Blues (Live In Detroit) (LP Version)',0
48,b'SOKRLDX12A8C140A0F',b'Hiroshima',5
49,b'SOYXIYK12A8C138524',b'Nocturne For Piano No. 8 In D Flat Major_ Op. 84 No. 8 (also in Huit pi\xc3\xa8ces br\xc3\xa8ves_ Op. 84/8)',5
50,b'SOLTODW12AF72A9E5E',b'I Swear the Visine is for my Allergies',1
51,b'SOJJPHI12AB018B991',b'Reunited',4
52,b'SOLDKKK12A6D4FD12B',b'Bath Of Least Resistance',6
53,b'SONLPBB12A8C13C780',b'Sea_ Subsurface',5
54,b'SOVETRX12A6D4F7717',b'De Lai Bu Yi',3
55,b'SOWYBEK12AB018BB91',b'Wild Ride (From the album Steel And Fire)',9
56,b'SOQUUNE12A8C135F0D',b'Birak Yakami',1
57,b'SOXAPVV12A67020F8C',b'New Morning (Live)',3
58,b'SOVDQMC12A8C142C99',"b""It's Alright Bruv""",1
59,b'SOBCLUB12A6BD53D2E',b'Svedomi',6
60,b'SOGYWNC12A58A7811F',b'People = Sh*t (live) (Album Version)',1
61,b'SOLLTIL12A6D4F970A',b'Como Olvidar (Merengue Versi\xc3\xb3n)',7
62,b'SODJBBD12A58A7EC47',b'Les Fleurs',7
63,b'SOIOCPL12A58A800EC',b'Too Tight Blues No. 2',2
64,b'SOMSOXH12A67ADD011',b'Dekh Le',1
65,b'SOHTDBY12A67020981',b'New Born Soul',0
66,b'SOFJAJB12A8C139F14',b'Madeleine',5
67,b'SOUFBXS12A67ADD453',b'El Oro De La Gallina De Los Huevos',6
68,b'SOHQAKK12A8C131323',b'War?',7
69,b'SOREVMS12A58A7B236',b'If You Leave Me Now',8
70,b'SOACJHA12A58A7C346',b'You Saved My Life',8
